Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,Floorball Köniz,22,16,4,1,1,180:95,85,57
2,,SV Wiler-Ersigen,22,16,1,1,4,161:99,62,51
3,,Grasshopper Club Zürich,22,15,2,1,4,166:109,57,50
4,,HC Rychenberg Winterthur,22,13,1,5,3,144:117,27,46
5,,Tigers Langnau,22,11,3,2,6,166:124,42,41
6,,Chur Unihockey,22,11,2,2,7,128:130,-2,39
7,,UHC Alligator Malans,22,11,1,2,8,125:114,11,37
8,,Kloten-Bülach Jets,22,6,1,2,13,85:146,-61,22
9,,UHC Grünenmatt,22,6,0,0,16,139:174,-35,18
10,,UHC Uster,22,4,1,0,17,114:160,-46,14
11,,Waldkirch-St. Gallen,22,3,1,2,16,92:149,-57,13
12,,UHC Thun,22,1,2,1,18,90:173,-83,8
